sequence_id,cell_id,source_checkpoint,target_checkpoint,modality,point_index,time_s,voltage_V,capacity_Ah,temperature_K,actual_soh
Cell1:cyc0000->cyc0100,Cell1,cyc0000,cyc0100,C1ch,0,735954.8589655256,2.7192132,-4.882955593532986e-08,314.44553599999995,98.67620878772155
Cell1:cyc0000->cyc0100,Cell1,cyc0000,cyc0100,C1ch,1,735954.8589770996,2.8561351,0.0002063388317159017,314.150046,98.67620878772155
Cell1:cyc0000->cyc0100,Cell1,cyc0000,cyc0100,C1ch,2,735954.8589886738,2.8771081,0.0004127241378072103,314.11260799999997,98.67620878772155
Cell1:cyc0000->cyc0100,Cell1,cyc0000,cyc0100,C1ch,3,735954.8590002478,2.8929081,0.0006191104516262479,314.13757899999996,98.67620878772155
Cell1:cyc0000->cyc0100,Cell1,cyc0000,cyc0100,C1ch,4,735954.8590118219,2.9063823,0.0008254972430792914,314.19999199999995,98.67620878772155
Cell1:cyc0000->cyc0100,Cell1,cyc0000,cyc0100,C1ch,5,735954.859023396,2.9184127,0.001031884899156359,314.07517099999995,98.67620878772155
Cell1:cyc0000->cyc0100,Cell1,cyc0000,cyc0100,C1ch,6,735954.85903497,2.9294808,0.001238271757843018,314.11260799999997,98.67620878772155
Cell1:cyc0000->cyc0100,Cell1,cyc0000,cyc0100,C1ch,7,735954.8590465442,2.9395864,0.0014446585316942,314.150046,98.67620878772155
Cell1:cyc0000->cyc0100,Cell1,cyc0000,cyc0100,C1ch,8,735954.8590581182,2.9491305,0.001651044127787272,314.17501699999997,98.67620878772155
Cell1:cyc0000->cyc0100,Cell1,cyc0000,cyc0100,C1ch,9,735954.8590696923,2.9579527,0.001857431064358181,314.11260799999997,98.67620878772155
Cell1:cyc0000->cyc0100,Cell1,cyc0000,cyc0100,C1ch,10,735954.8590812663,2.9666147,0.002063816524458144,314.16254999999995,98.67620878772155
Cell1:cyc0000->cyc0100,Cell1,cyc0000,cyc0100,C1ch,11,735954.8590928405,2.9746752,0.002270203566894531,314.13757899999996,98.67620878772155
